ZIPCODE,All Households,Families,FamilyWithKids,FamilyNoKids
Zip Code 11415,70900,86948,109130,76979
Zip Code 11416,73370,75471,60061,81333
Zip Code 11417,76868,85046,70104,93378
Zip Code 11418,68920,72047,65565,76121
Zip Code 11419,75835,79508,67548,87696
Zip Code 11420,79273,82528,70540,88871
Zip Code 11421,73107,78779,72021,83675
Zip Code 11422,88130,92304,89972,94028
Zip Code 11423,71194,82156,74429,88560
Zip Code 11426,98987,115136,114034,115602
Zip Code 11427,79385,96292,94575,97409
Zip Code 11428,78368,88320,79250,90433
Zip Code 11429,88300,97941,88531,100052
Zip Code 11432,62148,67198,55290,79468
Zip Code 11433,54253,65591,61544,68725
Zip Code 11434,64087,81641,76721,85763
Zip Code 11435,66137,70354,55066,84334
Zip Code 11436,75222,79740,63969,84737
Zip Code 11691,50267,61360,60325,64441
Zip Code 11692,46819,50516,42614,57188
Zip Code 11693,60569,66250,62188,67741
Zip Code 11694,84485,111046,120943,107721
Zip Code 11697,105750,123438,189400,115000
